Pre Escola(publico),Fundamental e Medio (publico),Graduacao e Pos (publico),Pre Escola (particular),Fundamental e Medio (particular),Graduacao e Pos (particular),Medio comp e Sup incomp (+25),Superior completo (+25)
5532.141314,18003.71017,1605.136927,908.0381834,2957.241914,3438.599007,20443.97928,10320.93
87.75447726,293.9141938,13.83257676,0.0,6.51007592,40.77979552,253.5381756,61.96675286
217.9353855,1377.289516,34.61741579,0.0,29.97820756,209.9750691,942.7149518,374.1174598
149.0153947,817.4392938,5.20657984,4.20279622,5.5729447,30.02139223,445.8258127,112.434485
411.8176421,2224.820004,27.4952193,11.39291863,68.08721887,136.2650904,1022.445366,240.7615027
332.5434817,1502.094563,32.48831752,11.72969692,86.12752131,204.1127698,923.4093144,362.8334834
1867.373463,7653.555921,80.51506128,252.2593751,1059.067664,1276.767993,6319.429375,2087.110046
3136.321576,15926.71462,509.1394248,724.4828627,1858.657941,2152.603074,12808.05997,4912.403272
75.26712351,297.7776744,17.29817711,0.0,8.35772176,67.9374912,186.2650495,71.28317503
3792.396604,13272.66361,1752.834207,770.6502315,2276.290948,3201.566321,19152.32713,10802.72443
5620.162379,23250.50588,1145.381454,1253.244695,4371.634855,3649.951008,17212.4054,11126.05433
535.6685085,1824.576307,71.37406864,71.90294961,314.7990486,403.6193807,2213.92257,1019.816691
190.8018634,1077.598903,10.90115309,3.87753572,12.65511653,84.24183615,533.5267211,145.6961213
452.3648833,2055.99053,9.76331069,69.23851306,198.689725,145.5717308,1249.725459,374.6942864
4090.69141,12203.57339,454.3019613,674.6223359,1936.191379,1775.953436,12350.85797,7234.092936
575.4593015,2932.040552,167.0674942,125.863435,283.6546872,369.5778902,2650.569063,921.6405929
38.84236399,271.3073794,8.0456179,0.0,3.56218167,29.4914791,422.2171246,34.38239623
342.8350699,1750.400087,109.9109512,13.50117167,86.96480017,128.7329626,1195.079388,490.6945841
404.407369,1906.655332,56.13017674,29.06152969,49.15233285,202.2254124,1358.069432,569.3074233
133.465842,599.120866,12.14576341,4.81462467,6.71751359,70.204746,258.342367,105.616586
251.0583566,1352.630814,21.03839592,0.0,32.93840879,76.55998166,650.4087322,219.0275457
1681.378783,4507.96977,166.7409448,133.4461127,867.782705,625.1487006,3973.33824,1917.573039
1135.827974,5451.235938,434.1194148,289.2101565,1068.964018,864.9775049,6265.809444,2893.931246
181.5963315,1195.635694,21.20910688,0.0,0.0,19.46942327,436.3702218,98.29431219
212.1561882,1944.392969,16.03185003,0.0,10.02407827,83.41992105,390.1119176,228.1684394
5133.402516,16325.48695,885.0700992,1164.939743,2809.600198,4506.650408,20765.99586,9411.089285
983.7899697,5872.022659,121.8741392,113.5851921,234.2170353,604.1985203,2766.606122,979.7838306
13770.05072,52116.27035,2264.887651,1618.448199,3766.472872,7403.686225,40689.53973,16760.36658
998.5216526,3275.875119,195.120655,66.62339069,157.2009598,651.6476256,2780.367178,1123.870873
1531.413536,8949.823625,511.9915102,449.6500476,1744.068093,1583.830244,8088.051954,4740.187296
13369077.0,49278.16068,4605.353345,4532.104544,11910.47544,12998.07226,65697.28687,38701.44401
3105.685146,11492.20071,580.6334593,484.8255815,2508.077273,2819.279062,11960.94243,6286.170191
142.0065419,434.3408893,4.5342791,6.90408155,31.1661163,38.94247172,484.2104672,97.37607628
508.1145907,1747.500922,78.50401456,44.09343884,167.2347588,197.8741621,1360.525976,664.2213101
2900.301183,9364.938839,157.3722826,264.2241764,832.3045005,681.2505807,6575.927348,2202.045544
263.667092,1011.240928,22.28602148,4.34834981,80.92217557,258.8225723,1183.485547,560.7387588
4964.904603,15387.78203,581.3333247,600.0852771,2429.561066,2832.243609,18280.88357,8058.372764
1294.891883,5522.676584,76.51312273,111.2560159,368.370414,295.8655734,3770.059308,795.9824087
678.767475,2447.963251,23.62453192,57.72737725,113.526866,151.4335852,1165.520669,394.6024633
543.1056659,1871.543933,71.02094171,15.04834794,103.3249334,224.5207893,1407.881697,679.3954972
504.0638004,1729.950753,29.8934296,4.85452811,33.48139976,154.3770467,876.969666,496.0474837
2117.932265,7938.305005,235.0958476,364.3625648,1157.407552,1494.686763,7083.163353,3478.791503
1132.971218,3325.005058,34.89955768,110.5683154,301.6186898,310.7431632,2634.239833,765.033202
204.2847794,917.8857618,8.57381687,2.70792004,7.1561177,30.02835431,233.8903622,79.99525536
19.06857956,154.8937748,15.28979218,0.0,0.0,6.5802322,143.3921152,24.47039179
304.1017396,794.6990815,14.40534631,0.0,30.76866925,86.22046363,572.3491228,152.4794727
505.5255274,2040.772523,70.02475862,32.63884899,232.3977248,251.7524186,1689.008915,618.2505789
110.2200761,477.3808722,8.01671426,5.25786999,5.29653435,30.89317161,270.500894,51.06128127
5426.832369,18491.50538,2913.819562,1514.598869,4602.388941,3478.533415,23022.21399,14981.04775
5129.884272,22401.18896,1374.749786,1151.845092,5599.29028,4001.355169,24973.67454,13732.80326
159.826266,806.3098892,8.85827316,0.0,20.63325642,108.9293807,516.1607691,267.431894
122.3014024,447.7415791,3.37623489,0.0,10.98654417,38.55345244,269.4966395,88.24499256
902.3040499,3472.077547,64.84566587,191.4628825,493.0156764,375.4298046,2626.551644,1348.745143
1203.939122,3190.288454,101.1980782,171.7291067,442.7249167,274.4300742,2898.276939,1102.067599
995.7557711,3968.98268,121.6904628,10.76669743,24.18601371,190.0517412,1615.573573,605.4088756
582.5156229,2074.576394,84.0111331,73.67431674,233.8235863,447.4097331,2396.707518,991.1111671
169.5568456,714.5997839,40.78722389,0.0,14.95835895,128.6929042,416.4126642,290.2541623
211.2000362,867.2350148,26.63266319,0.0,33.50187699,51.92198027,472.739538,127.6183114
1974.042798,9269.013414,199.5357775,229.1703928,400.2830677,989.6165887,5197.80702,1288.522178
3089.308679,12770.21273,553.3516839,1112.97787,3454.487105,2477.032219,17311.83572,6454.161353
1285.154196,4670.550081,231.2128475,407.1096647,902.0921965,834.818343,6080.467723,2408.442708
741.8169383,3378.621782,71.24987437,33.87062409,272.8052416,320.4279501,1835.165859,965.9701701
656.3119212,2343.273618,77.2718324,84.60548387,232.3247463,380.1459183,2207.6164,950.9352254
144.3436235,754.4392771,26.90692402,2.18547656,9.93184948,161.2292732,695.4301706,65.87355877
3667.595991,15424.86973,478.1596018,939.4028836,2185.419422,3359.420427,16761.44135,5552.50897
121.8969461,1012.488196,15.19684416,9.38409922,42.38076821,79.46228489,542.0405938,152.6343929
3766.577857,13577.68772,488.8367209,437.1082432,1169.805498,1640.317447,10010.17229,2335.630561
1222.829706,6236.652784,35.96921782,130.878003,417.7271798,594.3119898,2919.79914,951.1830001
304.7811451,1681.104307,28.98777332,0.0,83.38867471,240.0529865,1120.771757,525.9383163
1023.695161,4414.967783,139.0113762,132.8654528,404.7786921,377.1321442,2480.546215,1305.465897
188.7567892,1186.290336,11.66072027,2.40461994,5.80293501,45.59754531,623.3685342,184.478728
42751.74998,160789.6219,19632.2489,16274.9132,36052.86358,43514.89733,189915.7389,147623.5018
3230.974671,13679.80066,422.6428847,727.8270263,1716.380828,2402.014962,14503.12657,3552.106611
2806.884161,9126.812509,191.2085639,167.9313575,796.9642618,988.7466956,5446.653098,2394.932212
252.6171214,884.9779949,20.88029952,0.0,5.35535892,104.0680023,525.311483,211.1505391
517.2580253,2595.969867,15.01522412,25.22093255,91.96902213,156.6188853,1655.409872,400.5788598
206.6605461,931.7735136,24.80307544,4.7141718,34.94608646,47.45627164,634.0825697,99.99263841
1414.736023,4967.217081,167.2599404,135.284122,392.834081,568.2645236,4467.18665,1359.465307
87.56971529,438.6585129,20.87860717,0.0,6.3903899,49.81456724,441.1655545,105.7544299
170.5730499,1075.525089,35.21624098,5.65960493,19.90428502,69.85174132,447.6094374,85.01218446
1715.056845,9728.964142,263.1599933,235.6200638,660.254501,690.1183973,5778.280464,2016.488135
731.0621117,3323.523359,88.12567742,46.81211052,125.300366,327.7977849,1788.244522,484.1378146
2262.369305,8334.773358,387.9059914,302.6056081,923.574488,1109.567787,6854.380535,2958.138998
5634.057761,18017.13989,572.384959,768.772721,1677.031605,2237.824142,17603.05106,6775.610568
16297.49378,78832.45382,3278.398436,5691.347486,5773.238767,10344.2896,62659.17247,15419.01763
412.5032952,2459.193725,125.2342543,76.49462881,203.309859,285.6012329,1247.601555,635.6831869
1501.276419,3833.324633,169.1383702,278.797393,657.6125326,513.7711616,4503.329848,2076.413221
138.220106,474.8946924,53.91393687,9.32759516,15.53602876,38.76798095,310.9239735,120.6798744
612.5934437,3237.55113,121.3100773,30.50769255,120.1692855,389.4212835,2396.803571,1064.715138
4144.86309,14432.96205,1052.426859,1162.606017,4149.256432,2881.221096,18648.90756,11034.82352
213.0103347,1167.054663,2.76012355,38.74197331,34.2262205,90.27185992,954.1295003,178.4161399
386.267913,1102.128607,45.55431158,38.14899842,107.4612722,161.8503766,1268.664431,590.1803351
659.3851951,3082.199979,73.15640166,93.19537772,278.9225806,392.5899872,2484.435371,987.3670849
1790.808837,6502.389538,225.264652,364.0232163,835.2208351,1324.289961,6792.305809,2438.945946
561.9898552,2974.663026,76.28512656,38.31665576,84.7632932,148.3030364,1972.336588,661.5494012
612.5597344,2694.959684,41.85332924,47.42909629,59.38797661,347.0323315,1986.662692,595.3471632
481.9995266,2181.310584,66.20068662,41.62957607,245.9099652,258.6806167,1485.503323,586.9685163
373.8303092,1156.173915,28.27997279,0.0,21.66139743,152.5193006,870.1661952,310.0352961
795.7934948,2767.947473,99.63844626,60.3146055,316.8694785,472.9031639,2519.019742,1083.533949
331.4644103,1207.278525,11.96816423,0.0,27.62938041,157.476352,760.3239153,153.6372385
1276.01768,5290.142068,131.9644557,65.46776974,159.2888472,477.3189438,2608.667291,842.5129925
1007.316724,2254.886607,75.9066501,94.18752778,482.5545715,234.6675324,1975.047067,1017.190966
1408.356241,3404.369964,583.703063,47.7779889,359.9595943,347.1676569,2955.792077,1311.620885
333.0659831,761.2408497,17.93841869,0.0,12.38037912,126.9046186,551.1149984,270.9841049
196.2210647,1070.236889,30.68874741,0.0,42.95871619,55.34311312,444.0551476,114.8278213
188.2390716,706.7599416,22.72309887,2.83827434,35.40636424,60.19543582,502.8076395,144.8658787
2618.023457,11591.00564,260.8502303,276.1013134,863.2312983,1139.482457,9303.152884,2526.144397
202.1845259,1063.433386,16.42391749,0.0,17.20812783,178.35091,925.6799211,356.4298572
8746.484813,41392.22871,1532.09527,2892.133479,6520.418605,5414.693414,31791.76411,18336.46824
1424.82219,6966.320669,310.9415853,303.1196215,559.3116703,703.0111433,4971.818544,1470.538291
311.4009515,1408.32359,28.97047904,7.96114964,67.63126876,142.5314187,1017.811936,376.7169004
91.06286754,383.8920404,21.7593687,0.0,1.66788272,40.31966257,487.1090346,89.75635674
2519.712046,12622.07399,589.2462678,1024.211514,2881.997907,2318.26914,16306.01319,5981.947532
5569.495472,23640.18139,658.6385587,759.5051636,1657.246685,2454.797465,22187.87193,4620.48481
809.0933313,4213.110463,75.2235432,87.19002076,231.2643712,288.8609382,1551.481756,992.3877636
1045.786261,4894.056705,315.7741907,187.1274957,726.9154361,889.9616536,4296.053473,2381.499835
19081.91043,78036.74127,2834.386837,3215.55739,6432.947784,10178.95914,71135.91886,16054.27921
76.67468182,256.5168395,3.00551552,0.0,16.22834653,105.1851044,217.4254906,83.27885512
441.2518556,1592.847796,19.50714041,5.62126591,46.64486053,247.045708,1088.623626,609.6192872
390.7173202,1675.231054,67.03693708,0.0,42.24657741,145.312203,834.0847731,290.2823761
777.4786489,3923.992767,313.7425194,154.5859437,766.5944251,509.3715104,3068.909746,1204.91763
99.70788289,329.5181716,7.30286909,0.0,7.80378116,78.88144352,252.4577563,123.3212515
240.2636922,1503.876365,54.07208137,17.64525376,87.28441916,263.6128502,1314.548649,382.9469999
1779.383629,5224.368677,424.9313189,305.3678033,1057.932746,1270.420361,6699.523983,4541.482487
407.4183722,1856.756423,99.42657179,11.11231621,225.8565772,319.6242303,1809.05568,786.2169385
415.1228292,1384.041947,57.9428262,9.31495528,147.0486605,146.5568061,1082.429931,342.3984249
270.8443803,1123.217855,25.2935133,0.0,49.69495371,229.6258293,824.900379,367.2489707
814.0419953,3714.017712,25.63102209,0.0,59.32791672,200.6424963,1406.737724,550.9825124
829.1788767,2954.889282,73.82775007,30.3099181,115.0164905,203.9660721,1165.327488,442.4703202
127.2503031,488.2853646,14.42417069,0.0,26.11280057,18.92956865,435.8109377,61.4634693
